legacy_system_id,obsolete_sensor_data,department_name,seniority_level,annual_salary
,,Marketing ,Junior,
,, iT ,jUNior,
,, iT ,  SENIOR,85538.53
,,sales,VP ,
,,IT,,146219.05
,,,Director,"65,921 USD"
,, HR ,Director,118573.63
,,Marketing ,VP ,114528.84
,,sales,Junior," $89,394.37 "
,,sales,,
,, HR ,Director,
,, iT ,Director," $130,482.04 "
,,,VP ," $140,188.49 "
,, HR ,Director,"100,726 USD"
,,Marketing ,Director,41360.02
,,Marketing ,VP ,"86,155 USD"
,,sales,mid," $104,094.48 "
,, HR ,VP ,126432.02
,,  Sales,Director,112026.64
,,Marketing ,Director,
,,  Sales,Director,
,,Marketing ,jUNior,"44,266 USD"
,, iT ,mid,
,,IT,  SENIOR,"42,226 USD"
,,  Sales,  SENIOR,134405.83
,, HR ,,73052.85
,,IT,,"69,636 USD"
,,Marketing ,jUNior,
,,IT,mid,"84,789 USD"
,,,VP ,130311.91
,,,mid,
,, iT ,VP ,125856.81
,,Marketing ,Junior,
,,,mid,"67,444 USD"
,, HR ,  SENIOR,"70,138 USD"
,,Marketing ,Director," $53,626.01 "
,,sales,  SENIOR,"89,071 USD"
,,Marketing ,VP ,"57,986 USD"
,, iT ,,"71,358 USD"
,, HR ,mid," $125,781.31 "
,,,mid,"114,546 USD"
,, iT ,Director,135109.29
,, HR ,Director,111210.87
,,,Junior,"106,918 USD"
,, iT ,jUNior,"86,619 USD"
,,,  SENIOR,"64,003 USD"
,, iT ,VP ," $83,686.78 "
,, HR ,VP ,"146,313 USD"
,,Marketing ,jUNior,71094.46
,, HR ,Director,
,,  Sales,jUNior,70457.34
,, iT ,jUNior," $56,492.22 "
,, HR ,,"129,103 USD"
,, iT ,  SENIOR,119341.15
,,IT,  SENIOR,"86,042 USD"
,, iT ,Junior," $149,422.91 "
,,  Sales,jUNior,115494.99
,,,Director,113905.53
,,  Sales,,
,, iT ,VP ,
,, HR ,Director,
,,  Sales,jUNior," $123,921.00 "
,, iT ,  SENIOR," $64,447.89 "
,, iT ,,"126,690 USD"
,,  Sales,  SENIOR," $91,013.67 "
,,IT,Junior,104193.21
,, HR ,Director,95052.51
,,IT,VP ," $45,946.82 "
,,sales,mid,"148,591 USD"
,,sales,  SENIOR," $59,839.24 "
,,IT,  SENIOR,59450.67
,, HR ,Junior," $63,032.06 "
,,Marketing ,,
,,,,"54,235 USD"
,, iT ,Director,"146,186 USD"
,, HR ,Junior," $120,372.50 "
,,  Sales,,60963.44
,, HR ,jUNior,"64,889 USD"
,,  Sales,mid,
,,Marketing ,VP ," $47,181.57 "
,,  Sales,  SENIOR,97231.73
,,  Sales,Director,"149,502 USD"
,,IT,  SENIOR,"58,137 USD"
,, HR ,mid," $148,336.75 "
,, iT ,Junior,"58,588 USD"
,, iT ,jUNior,81271.17
,,  Sales,," $45,344.57 "
,, iT ,Junior,42171.59
,, HR ,Director,"53,595 USD"
,,IT,jUNior,
,, iT ,jUNior,73122.81
,, HR ,jUNior,108507.76
,,sales,Director,51540.57
,,Marketing ,Junior,"126,324 USD"
,,sales,VP ,
,,  Sales,,62184.05
,,IT,  SENIOR,
,,Marketing ,Director,"115,702 USD"
,,  Sales,mid,
,, iT ,Junior,131875.54
,,IT,mid," $125,747.88 "
,, iT ,jUNior,
,,  Sales,jUNior,"148,753 USD"
,,  Sales,Director,
,,,mid,"133,747 USD"
,,,jUNior," $121,239.42 "
,,,," $41,063.96 "
,, iT ,jUNior,
,,  Sales,Director,69514.03
,, HR ,  SENIOR,"60,116 USD"
,,IT,Director,"82,429 USD"
,,,Director," $127,660.05 "
,,sales,jUNior," $147,972.61 "
,, HR ,Director,93094.23
